1419990,18,Female,822,956,230,24,50,24,0,high
1183457,25,Female,830,38,4,0,1,0,0,low
1748459,108,Male,1269,139,89,3,5,2,1,medium
1888326,24,Male,514,208,99,549,267,549,0,high
1698407,16,Female,384,51,42,146,15,0,146,medium
2125221,57,Male,1724,181,129,144,360,33,111,high
1182585,28,Male,423,62,25,47,25,38,9,medium
1188214,24,Male,488,141,37,120,78,116,4,high
1610963,23,Female,190,45,38,4,4,4,0,medium
1622622,18,Female,739,241,171,102,88,92,10,high
1041231,100,Male,1528,604,291,68,46,36,32,high
1891522,19,Female,101,151,48,7,0,7,0,low
1913637,17,Male,950,187,125,6,4,1,5,medium
1502535,27,Male,1333,404,323,510,463,108,402,high
1662141,62,Female,1175,278,130,3,201,0,3,high
1803499,70,Female,212,18,15,0,2,0,0,low
1521177,45,Male,753,196,150,0,1,0,0,low
2128462,23,Male,4,0,0,0,0,0,0,low
1990507,27,Male,770,238,151,11,26,11,0,medium
2055702,25,Male,364,132,75,115,15,86,29,medium
1157316,16,Male,119,193,159,18,98,17,1,high
1109102,30,Male,218,71,46,16,9,0,16,medium
1972903,23,Female,234,78,46,3,0,0,3,low
1786039,71,Male,1497,52,25,0,0,0,0,low
1300293,40,Male,1440,205,83,69,302,63,6,high
1622670,21,Male,332,33,27,5,0,0,5,low
1696895,33,Female,484,93,68,1,3,1,0,medium
1319852,21,Male,587,84,67,13,13,13,0,medium
2022295,24,Male,308,167,161,2,14,2,0,medium
1711156,16,Male,291,274,16,17,6,17,0,medium
1323540,67,Female,684,20,13,5,0,5,0,low
1127038,43,Female,390,22,7,9,4,9,0,medium
1744277,21,Female,246,76,52,2,64,1,1,high
1605874,29,Male,526,53,51,6,5,6,0,medium
1278377,103,Male,1265,853,659,35,73,30,5,high
1566361,30,Female,381,127,98,24,0,24,0,low
2159756,22,Female,1600,175,94,28,270,28,0,high
2007359,53,Female,368,459,310,808,1,0,808,low
1289193,23,Male,457,598,497,4576,1536,4576,0,high
1542463,32,Male,569,45,0,0,0,0,0,low
1561861,17,Female,92,230,46,60,76,60,0,high
1993963,66,Female,68,23,21,11,8,0,11,medium
1793046,32,Male,59,0,0,2,0,0,2,low
1565284,28,Male,204,18,15,0,0,0,0,low
1358905,21,Female,316,7,7,24,16,17,7,medium
1372028,100,Female,1607,255,144,38,37,32,6,high
2048716,20,Female,262,1716,179,0,4,0,0,medium
2095377,33,Female,573,52,21,3,15,1,2,medium
1645359,23,Female,1266,403,144,93,116,30,63,high
2014218,20,Male,589,353,280,33,27,33,0,medium
1892867,28,Female,222,0,0,0,0,0,0,low
1894327,18,Female,409,5,1,0,1,0,0,low
1512553,20,Female,274,199,127,0,0,0,0,low
