Male,916.842082,5.0,6.0,No
Male,655.78946,1.0,1.0,No
Male,701.578933,4.0,4.0,No
Female,726.315771,3.0,3.0,No
Female,823.68419,2.0,3.0,No
Male,760.526298,3.0,5.0,No
Female,762.105244,3.0,5.0,No
Female,618.421041,3.0,3.0,No
Female,792.105244,4.0,4.0,No
Male,627.368406,3.0,2.0,No
Female,659.999987,4.0,5.0,Yes
Male,758.947352,2.0,3.0,No
Female,680.526298,4.0,1.0,No
Male,847.894717,3.0,4.0,No
Male,777.894717,5.0,3.0,No
Female,704.736825,3.0,1.0,No
Female,752.105244,4.0,5.0,No
Male,759.473663,4.0,3.0,No
Female,701.578933,3.0,3.0,No
Male,696.315771,4.0,3.0,No
Female,665.2631425,4.0,5.0,No
Male,823.68419,2.0,4.0,No
Male,688.947352,4.0,3.0,No
Female,898.421028,4.0,5.0,No
Male,862.631555,3.0,4.0,Yes
Female,710.526298,2.0,2.0,No
Female,750.526298,4.0,4.0,No
Male,705.2631425,4.0,3.0,No
Male,764.736825,4.0,4.0,No
Female,916.842082,3.0,4.0,No
Male,813.68419,4.0,1.0,No
Male,617.8947235,4.0,3.0,No
Male,916.842082,3.0,6.0,No
Female,742.105244,3.0,5.0,No
Male,888.421028,3.0,4.0,Yes
Female,783.68419,3.0,5.0,No
Male,761.052609,5.0,4.0,Yes
Male,718.947352,5.0,6.0,No
Female,849.473663,4.0,5.0,No
Male,590.5263045,4.0,2.0,No
Female,612.631568,3.0,2.0,No
Male,488.421041,5.0,3.0,No
Male,535.7894639,4.0,3.0,No
Female,819.473663,4.0,2.0,No
Male,876.842082,3.0,4.0,No
Female,707.894717,4.0,3.0,No
Female,591.052622,4.0,1.0,No
Female,776.315771,2.0,3.0,No
Female,703.157879,4.0,3.0,No
Male,789.473663,4.0,3.0,No
Female,770.526298,2.0,3.0,No
Male,727.894717,4.0,3.0,No
Male,938.421028,4.0,6.0,No
Male,603.157879,5.0,3.0,No
Male,859.473663,4.0,4.0,No
Male,853.68419,3.0,5.0,No
Female,758.4210345,4.0,4.0,No
Female,635.7894535,4.0,3.0,No
Male,649.999987,3.0,3.0,No
Male,678.947352,4.0,3.0,No
Male,675.78946,4.0,4.0,Yes
Male,747.894717,4.0,3.0,No
Male,531.052622,4.0,3.0,No
Male,806.315771,3.0,4.0,No
Male,888.421028,4.0,3.0,Yes
Male,949.999974,3.0,6.0,No
Male,762.105244,4.0,3.0,No
Male,736.315771,4.0,4.0,No
Female,776.315771,2.0,3.0,No
Male,694.736825,3.0,5.0,No
Female,754.736825,4.0,4.0,No
Female,912.631555,4.0,4.0,No
Male,781.5789291,5.0,5.0,No
Female,683.157879,4.0,3.0,No
Male,653.157879,3.0,4.0,No
Male,842.631555,5.0,4.0,No
Male,891.052609,3.0,6.0,No
Female,866.842082,4.0,4.0,No
Female,752.105244,2.0,5.0,No
Female,673.157879,5.0,3.0,No
Female,724.736825,3.0,4.0,No
Female,833.68419,3.0,4.0,No
Female,777.894717,4.0,5.0,No
Male,659.999987,3.0,2.0,No
Male,511.052622,4.0,3.0,No
Male,612.631568,3.0,4.0,No
Male,774.2105075,4.0,3.0,No
Male,737.894717,3.0,3.0,No
Male,899.999974,3.0,4.0,No
Male,949.999974,4.0,5.0,No
Male,750.526298,2.0,3.0,No
Male,617.368406,2.0,5.0,No
Female,773.68419,4.0,3.0,No
Male,572.6315641,3.0,3.0,No
Female,859.473663,4.0,4.0,No
Male,906.842082,5.0,5.0,No
Male,829.473663,4.0,4.0,No
Male,763.68419,4.0,3.0,No
Male,740.526298,3.0,4.0,No
Male,948.421028,5.0,6.0,No
Female,797.894717,3.0,5.0,No
Male,552.1052505,2.0,5.0,No
Male,881.052609,4.0,4.0,No
Male,693.68419,3.0,4.0,No
Female,718.947352,3.0,3.0,No
Female,717.368406,4.0,3.0,No
